energia_ren,pais,year,percentagem,mio_t_co2eq,meta_eu
REN_TRA,NL,2007,3.182,212.41737,39.318
REN_TRA,PL,2007,1.746,368.51765,40.754
REN_TRA,PT,2007,2.433,77.20876,40.067
REN_TRA,RO,2007,1.641,115.33817,40.859
REN_TRA,SE,2007,8.421,0.74779,34.079
REN_TRA,SI,2007,1.473,13.44462,41.027
REN_TRA,SK,2007,3.994,43.06656,38.506
REN,AT,2008,28.788,77.59132,13.712
REN,BE,2008,3.611,136.89941,38.889
REN,BG,2008,10.345,54.86986,32.155
REN,CY,2008,5.131,9.92166,37.369
REN,CZ,2008,8.674,134.41195,33.826
REN,DE,2008,10.072,962.77059,32.428
REN,DK,2008,18.543,71.65454,23.957
REN,EE,2008,18.811,16.21947,23.689
REN,EL,2008,8.183,129.17583,34.317
REN,ES,2008,10.744,361.01407,31.756
REN,FI,2008,31.071,39.56394,11.428999999999998
REN,FR,2008,11.188,475.92262,31.311999999999998
REN,HR,2008,21.986,23.86473,20.514
REN,HU,2008,8.564,66.20918,33.936
REN,IE,2008,3.979,71.03292,38.521
REN,IT,2008,11.492,522.5556,31.008
REN,LT,2008,17.824,18.53443,24.676
REN,LU,2008,2.809,11.72915,39.691
REN,LV,2008,29.811,5.12987,12.689
REN,MT,2008,0.195,3.05256,42.305
REN,NL,2008,3.596,212.48626,38.903999999999996
REN,PL,2008,7.686,361.64817,34.814
REN,PT,2008,22.929,71.03892,19.571
REN,RO,2008,20.204,108.85325,22.296
REN,SE,2008,43.922,0.41932,-1.421999999999997
REN,SI,2008,18.646,14.42584,23.854
REN,SK,2008,7.723,44.65807,34.777
REN_ELC,AT,2008,65.88,77.59132,-23.379999999999995
REN_ELC,BE,2008,4.625,136.89941,37.875
REN_ELC,BG,2008,9.544,54.86986,32.956
REN_ELC,CY,2008,0.285,9.92166,42.215
REN_ELC,CZ,2008,5.182,134.41195,37.318
REN_ELC,DE,2008,15.141,962.77059,27.359
REN_ELC,DK,2008,25.936,71.65454,16.564
REN_ELC,EE,2008,1.972,16.21947,40.528
REN_ELC,EL,2008,9.646,129.17583,32.854
REN_ELC,ES,2008,23.777,361.01407,18.723
REN_ELC,FI,2008,26.745,39.56394,15.754999999999999
REN_ELC,FR,2008,14.358,475.92262,28.142
REN_ELC,HR,2008,33.865,23.86473,8.634999999999998
REN_ELC,HU,2008,5.317,66.20918,37.183
REN_ELC,IE,2008,10.822,71.03292,31.678
REN_ELC,IT,2008,16.645,522.5556,25.855
REN_ELC,LT,2008,4.914,18.53443,37.586
REN_ELC,LU,2008,3.581,11.72915,38.919
REN_ELC,LV,2008,38.733,5.12987,3.767000000000003
REN_ELC,MT,2008,0.0,3.05256,42.5
REN_ELC,NL,2008,7.464,212.48626,35.036
REN_ELC,PL,2008,4.248,361.64817,38.252
REN_ELC,PT,2008,34.063,71.03892,8.436999999999998
REN_ELC,RO,2008,28.075,108.85325,14.425
REN_ELC,SE,2008,53.687,0.41932,-11.186999999999998
REN_ELC,SI,2008,29.962,14.42584,12.538
REN_ELC,SK,2008,17.013,44.65807,25.487
REN_HEAT_CL,AT,2008,27.195,77.59132,15.305
REN_HEAT_CL,BE,2008,5.121,136.89941,37.379
REN_HEAT_CL,BG,2008,17.262,54.86986,25.238
REN_HEAT_CL,CY,2008,14.469,9.92166,28.031
REN_HEAT_CL,CZ,2008,12.918,134.41195,29.582
REN_HEAT_CL,DE,2008,10.33,962.77059,32.17
REN_HEAT_CL,DK,2008,27.964,71.65454,14.536000000000001
REN_HEAT_CL,EE,2008,35.997,16.21947,6.503
REN_HEAT_CL,EL,2008,14.718,129.17583,27.782
REN_HEAT_CL,ES,2008,11.618,361.01407,30.881999999999998
REN_HEAT_CL,FI,2008,43.078,39.56394,-0.578000000000003
REN_HEAT_CL,FR,2008,13.283,475.92262,29.217
REN_HEAT_CL,HR,2008,28.818,23.86473,13.681999999999999
REN_HEAT_CL,HU,2008,11.97,66.20918,30.53
REN_HEAT_CL,IE,2008,3.513,71.03292,38.987
REN_HEAT_CL,IT,2008,15.311,522.5556,27.189
REN_HEAT_CL,LT,2008,31.992,18.53443,10.508
REN_HEAT_CL,LU,2008,4.571,11.72915,37.929
REN_HEAT_CL,LV,2008,42.937,5.12987,-0.4369999999999976
REN_HEAT_CL,MT,2008,1.696,3.05256,40.804
REN_HEAT_CL,NL,2008,3.024,212.48626,39.476
REN_HEAT_CL,PL,2008,10.846,361.64817,31.654
REN_HEAT_CL,PT,2008,37.451,71.03892,5.0489999999999995
REN_HEAT_CL,RO,2008,23.167,108.85325,19.333
REN_HEAT_CL,SE,2008,55.778,0.41932,-13.277999999999999
REN_HEAT_CL,SI,2008,27.527,14.42584,14.972999999999999
REN_HEAT_CL,SK,2008,6.097,44.65807,36.403
REN_TRA,AT,2008,9.56,77.59132,32.94
REN_TRA,BE,2008,0.712,136.89941,41.788
